peso_kg,categoria,ap_kg_dia,req_proteico
150.0,novillos,0.2,343.0
150.0,novillos,0.4,428.0
150.0,novillos,0.6,503.0
150.0,novillos,0.8,575.0
150.0,novillos,1.0,642.0
150.0,novillos,1.2,702.0
162.5,novillos,0.2,357.0
162.5,novillos,0.4,441.5
162.5,novillos,0.6,515.8
162.5,novillos,0.8,586.5
162.5,novillos,1.0,652.0
162.5,novillos,1.2,710.3
175.0,novillos,0.2,371.0
175.0,novillos,0.4,455.0
175.0,novillos,0.6,528.5
175.0,novillos,0.8,598.0
175.0,novillos,1.0,662.0
175.0,novillos,1.2,718.5
187.5,novillos,0.2,385.0
187.5,novillos,0.4,468.5
187.5,novillos,0.6,541.3
187.5,novillos,0.8,609.5
187.5,novillos,1.0,672.0
187.5,novillos,1.2,726.8
200.0,novillos,0.2,399.0
200.0,novillos,0.4,482.0
200.0,novillos,0.6,554.0
200.0,novillos,0.8,621.0
200.0,novillos,1.0,682.0
200.0,novillos,1.2,735.0
212.5,novillos,0.2,411.8
212.5,novillos,0.4,494.5
212.5,novillos,0.6,565.8
212.5,novillos,0.8,631.8
212.5,novillos,1.0,691.5
212.5,novillos,1.2,742.8
225.0,novillos,0.2,424.5
225.0,novillos,0.4,507.0
225.0,novillos,0.6,577.5
225.0,novillos,0.8,642.5
225.0,novillos,1.0,701.0
225.0,novillos,1.2,750.5
237.5,novillos,0.2,437.3
237.5,novillos,0.4,519.5
237.5,novillos,0.6,589.3
237.5,novillos,0.8,653.3
237.5,novillos,1.0,710.5
237.5,novillos,1.2,758.3
250.0,novillos,0.2,450.0
250.0,novillos,0.4,532.0
250.0,novillos,0.6,601.0
250.0,novillos,0.8,664.0
250.0,novillos,1.0,720.0
250.0,novillos,1.2,766.0
262.5,novillos,0.2,462.3
262.5,novillos,0.4,544.0
262.5,novillos,0.6,612.3
262.5,novillos,0.8,674.0
262.5,novillos,1.0,728.8
262.5,novillos,1.2,773.0
275.0,novillos,0.2,474.5
275.0,novillos,0.4,556.0
275.0,novillos,0.6,623.5
275.0,novillos,0.8,684.0
275.0,novillos,1.0,737.5
275.0,novillos,1.2,780.0
287.5,novillos,0.2,486.8
287.5,novillos,0.4,568.0
287.5,novillos,0.6,634.8
287.5,novillos,0.8,694.0
287.5,novillos,1.0,746.3
287.5,novillos,1.2,787.0
300.0,novillos,0.2,499.0
300.0,novillos,0.4,580.0
300.0,novillos,0.6,646.0
300.0,novillos,0.8,704.0
300.0,novillos,1.0,755.0
300.0,novillos,1.2,794.0
312.5,novillos,0.2,510.5
312.5,novillos,0.4,591.3
312.5,novillos,0.6,656.5
312.5,novillos,0.8,713.8
312.5,novillos,1.0,763.5
312.5,novillos,1.2,801.0
325.0,novillos,0.2,522.0
325.0,novillos,0.4,602.5
325.0,novillos,0.6,667.0
325.0,novillos,0.8,723.5
325.0,novillos,1.0,772.0
325.0,novillos,1.2,808.0
337.5,novillos,0.2,533.5
337.5,novillos,0.4,613.8
337.5,novillos,0.6,677.5
337.5,novillos,0.8,733.3
337.5,novillos,1.0,780.5
337.5,novillos,1.2,815.0
350.0,novillos,0.2,545.0
350.0,novillos,0.4,625.0
350.0,novillos,0.6,688.0
350.0,novillos,0.8,743.0
350.0,novillos,1.0,789.0
350.0,novillos,1.2,822.0
362.5,novillos,0.2,556.3
